Priority,Company name,Companies House number,Category,Postcode,Registered address,Incorporated,Accounts type,SIC codes,Nearest FC Urban venue,Walk (min),Venue match,In existing FC Urban sheet?,Contact first name,Contact full name,Contact job title,LinkedIn URL,Connection note (<=300),Note length,Follow-up DM,LinkedIn status,Connected at,Replied,Notes
74,Infinox Capital,,Financial institution,EC1A 7BN,"90 BARTHOLOMEW CLOSE, LONDON",21/03/2009,FULL,64999 - Financial intermediation not elsewhere classified,Old St - Moreland Primary School,19,exact postcode,,,,,,"Hi {First} - I'm Joep from FC Urban. We run social football at Old St - Moreland Primary School, a 19-min walk from Infinox Capital. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",269,"Thanks for connecting, {First}.

Quick one - we run social football games at Old St - Moreland Primary School, about 19 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Infinox Capital who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Joep
FC Urban",,,,
75,Miramar Underwriting,,Financial institution,EC3N 2EX,"DAWSON HOUSE 5, JEWRY STREET, LONDON",07/08/2009,FULL,66220 - Activities of insurance agents and brokers,Whitechapel,19,exact postcode,,,,,,"Hi {First} - I'm Joep from FC Urban. We run social football at Whitechapel, a 19-min walk from Miramar Underwriting. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",253,"Thanks for connecting, {First}.

Quick one - we run social football games at Whitechapel, about 19 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Miramar Underwriting who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Joep
FC Urban",,,,
76,Ecommpay,,Financial institution,EC1V 9BW,"5TH FLOOR, CHURCHILL HOUSE, LONDON",24/06/2013,FULL,64999 - Financial intermediation not elsewhere classified,Shoreditch Rooftop,19,exact postcode,,,,,,"Hi {First} - I'm Joep from FC Urban. We run social football at Shoreditch Rooftop, a 19-min walk from Ecommpay. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",248,"Thanks for connecting, {First}.

Quick one - we run social football games at Shoreditch Rooftop, about 19 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Ecommpay who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Joep
FC Urban",,,,
77,Otcx Trading,,Financial institution,EC4R 2SU,"6 DOWGATE HILL, LONDON",24/06/2014,FULL,66190 - Activities auxiliary to financial intermediation n.e.c.,Borough Academy,19,exact postcode,,,,,,"Hi {First} - I'm Joep from FC Urban. We run social football at Borough Academy, a 19-min walk from Otcx Trading. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",249,"Thanks for connecting, {First}.

Quick one - we run social football games at Borough Academy, about 19 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Otcx Trading who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Joep
FC Urban",,,,
78,Jlif Holdings (Barcelona Metro),,Financial institution,EC1A 4HD,"3RD FLOOR, SOUTH BUILDING, 200, LONDON",14/12/2015,FULL,64209 - Activities of other holding companies n.e.c.,Old St - Moreland Primary School,19,exact postcode,,,,,,"Hi {First} - I'm Joep from FC Urban. We run social football at Old St - Moreland Primary School, a 19-min walk from Jlif Holdings (Barcelona Metro). Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",285,"Thanks for connecting, {First}.

Quick one - we run social football games at Old St - Moreland Primary School, about 19 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Jlif Holdings (Barcelona Metro) who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Joep
FC Urban",,,,
79,Synergis Capital,,Financial institution,EC1A 4HD,"C/O GIS, LONDON",24/06/2016,FULL,64929 - Other credit granting n.e.c.,Old St - Moreland Primary School,19,exact postcode,,,,,,"Hi {First} - I'm Joep from FC Urban. We run social football at Old St - Moreland Primary School, a 19-min walk from Synergis Capital. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",270,"Thanks for connecting, {First}.

Quick one - we run social football games at Old St - Moreland Primary School, about 19 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Synergis Capital who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Joep
FC Urban",,,,
80,Emerald Financial Group (Uk),,Financial institution,EC4Y 0HA,"HAMILTON HOUSE, LONDON",07/09/2018,FULL,64999 - Financial intermediation not elsewhere classified,Borough Academy,19,exact postcode,,,,,,"Hi {First} - I'm Joep from FC Urban. We run social football at Borough Academy, a 19-min walk from Emerald Financial Group (Uk). Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",265,"Thanks for connecting, {First}.

Quick one - we run social football games at Borough Academy, about 19 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Emerald Financial Group (Uk) who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Joep
FC Urban",,,,
81,Three60 Epcc Holdings,,Financial institution,EC1A 7BN,"C/O BRODIES LLP, LONDON",11/01/2018,FULL,64209 - Activities of other holding companies n.e.c.,Old St - Moreland Primary School,19,exact postcode,,,,,,"Hi {First} - I'm Joep from FC Urban. We run social football at Old St - Moreland Primary School, a 19-min walk from Three60 Epcc Holdings. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",275,"Thanks for connecting, {First}.

Quick one - we run social football games at Old St - Moreland Primary School, about 19 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Three60 Epcc Holdings who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Joep
FC Urban",,,,
82,Fti Consulting Global Holdings,,Financial institution,EC1A 4HD,"200 ALDERSGATE, LONDON",19/05/2020,FULL,64209 - Activities of other holding companies n.e.c.,Old St - Moreland Primary School,19,exact postcode,,,,,,"Hi {First} - I'm Joep from FC Urban. We run social football at Old St - Moreland Primary School, a 19-min walk from Fti Consulting Global Holdings. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",284,"Thanks for connecting, {First}.

Quick one - we run social football games at Old St - Moreland Primary School, about 19 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Fti Consulting Global Holdings who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Joep
FC Urban",,,,
83,Fti Consulting Uk1 Holdings,,Financial institution,EC1A 4HD,"200 ALDERSGATE, ALDERSGATE STREET, LONDON",09/06/2020,FULL,64209 - Activities of other holding companies n.e.c.,Old St - Moreland Primary School,19,exact postcode,,,,,,"Hi {First} - I'm Joep from FC Urban. We run social football at Old St - Moreland Primary School, a 19-min walk from Fti Consulting Uk1 Holdings. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",281,"Thanks for connecting, {First}.

Quick one - we run social football games at Old St - Moreland Primary School, about 19 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Fti Consulting Uk1 Holdings who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Joep
FC Urban",,,,
84,Fti Consulting Uk2 Holdings,,Financial institution,EC1A 4HD,"200 ALDERSGATE, ALDERSGATE STREET, LONDON",11/06/2020,FULL,64209 - Activities of other holding companies n.e.c.,Old St - Moreland Primary School,19,exact postcode,,,,,,"Hi {First} - I'm Joep from FC Urban. We run social football at Old St - Moreland Primary School, a 19-min walk from Fti Consulting Uk2 Holdings. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",281,"Thanks for connecting, {First}.

Quick one - we run social football games at Old St - Moreland Primary School, about 19 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Fti Consulting Uk2 Holdings who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Joep
FC Urban",,,,
85,Squarepoint Services Uk,,Financial institution,EC2Y 9AW,"CITYPOINT, LONDON",26/09/2022,FULL,66300 - Fund management activities,Old St - Moreland Primary School,19,exact postcode,,,,,,"Hi {First} - I'm Joep from FC Urban. We run social football at Old St - Moreland Primary School, a 19-min walk from Squarepoint Services Uk. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",277,"Thanks for connecting, {First}.

Quick one - we run social football games at Old St - Moreland Primary School, about 19 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Squarepoint Services Uk who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Joep
FC Urban",,,,
86,Madison Cf Uk,,Financial institution,EC4V 5EQ,"71-73 CARTER LANE, LONDON",07/02/2013,GROUP,64921 - Credit granting by non-deposit taking finance houses and other specialist consumer credit grantors,Borough Academy,20,exact postcode,,,,,,"Hi {First} - I'm Joep from FC Urban. We run social football at Borough Academy, a 20-min walk from Madison Cf Uk. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",250,"Thanks for connecting, {First}.

Quick one - we run social football games at Borough Academy, about 20 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Madison Cf Uk who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Joep
FC Urban",,,,
87,Moorwand,,Financial institution,EC3N 3DS,"FORA, LONDON",16/04/2013,GROUP,62090 - Other information technology service activities | 64999 - Financial intermediation not elsewhere classified,Whitechapel,20,exact postcode,,,,,,"Hi {First} - I'm Joep from FC Urban. We run social football at Whitechapel, a 20-min walk from Moorwand. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",241,"Thanks for connecting, {First}.

Quick one - we run social football games at Whitechapel, about 20 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Moorwand who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Joep
FC Urban",,,,
88,Duniya Holdings,,Financial institution,EC3N 3AE,"3RD FLOOR,  5 LLOYDS AVENUE, LONDON",06/10/2021,GROUP,64209 - Activities of other holding companies n.e.c.,Whitechapel,20,exact postcode,,,,,,"Hi {First} - I'm Joep from FC Urban. We run social football at Whitechapel, a 20-min walk from Duniya Holdings. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",248,"Thanks for connecting, {First}.

Quick one - we run social football games at Whitechapel, about 20 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Duniya Holdings who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Joep
FC Urban",,,,
89,Nuova Capital,,Financial institution,EC3A 7LP,"DUKES HOUSE, LONDON",30/04/2021,GROUP,64303 - Activities of venture and development capital companies,Whitechapel,20,exact postcode,,,,,,"Hi {First} - I'm Joep from FC Urban. We run social football at Whitechapel, a 20-min walk from Nuova Capital. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",246,"Thanks for connecting, {First}.

Quick one - we run social football games at Whitechapel, about 20 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Nuova Capital who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Joep
FC Urban",,,,
90,European Insurance And Reinsurance Brokers,,Financial institution,EC3N 3DS,"OFFICE 4.03, LONDON",04/09/1967,FULL,65202 - Non-life reinsurance,Whitechapel,20,exact postcode,,,,,,"Hi {First} - I'm Joep from FC Urban. We run social football at Whitechapel, a 20-min walk from European Insurance And Reinsurance Brokers. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",275,"Thanks for connecting, {First}.

Quick one - we run social football games at Whitechapel, about 20 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at European Insurance And Reinsurance Brokers who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Joep
FC Urban",,,,
91,Railpen,,Financial institution,EC2M 4YH,"7 DEVONSHIRE SQUARE, LONDON",10/11/1988,FULL,65300 - Pension funding,Whitechapel,20,exact postcode,,,,,,"Hi {First} - I'm Joep from FC Urban. We run social football at Whitechapel, a 20-min walk from Railpen. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",240,"Thanks for connecting, {First}.

Quick one - we run social football games at Whitechapel, about 20 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Railpen who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Joep
FC Urban",,,,
92,Fmr Investment Management (Uk),,Financial institution,EC4M 5SB,"25 CANNON STREET, LONDON",21/09/2006,FULL,66300 - Fund management activities,Borough Academy,20,exact postcode,,,,,,"Hi {First} - I'm Joep from FC Urban. We run social football at Borough Academy, a 20-min walk from Fmr Investment Management (Uk). Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",267,"Thanks for connecting, {First}.

Quick one - we run social football games at Borough Academy, about 20 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Fmr Investment Management (Uk) who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Joep
FC Urban",,,,
93,Vfx Financial,,Financial institution,EC3A 7LP,"DUKES HOUSE, LONDON",09/05/2008,FULL,64999 - Financial intermediation not elsewhere classified,Whitechapel,20,exact postcode,,,,,,"Hi {First} - I'm Joep from FC Urban. We run social football at Whitechapel, a 20-min walk from Vfx Financial. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",246,"Thanks for connecting, {First}.

Quick one - we run social football games at Whitechapel, about 20 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Vfx Financial who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Joep
FC Urban",,,,
94,Bepi,,Financial institution,EC2A 4PS,"1 PHIPP STREET, LONDON",26/10/2020,FULL,62090 - Other information technology service activities | 64999 - Financial intermediation not elsewhere classified,Shoreditch Rooftop,20,exact postcode,,,,,,"Hi {First} - I'm Joep from FC Urban. We run social football at Shoreditch Rooftop, a 20-min walk from Bepi. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",244,"Thanks for connecting, {First}.

Quick one - we run social football games at Shoreditch Rooftop, about 20 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Bepi who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Joep
FC Urban",,,,
95,Axi Financial Services (Uk),,Financial institution,EC2A 2BN,"1 FINSBURY MARKET, LONDON",12/01/2007,GROUP,66120 - Security and commodity contracts dealing activities,Old St - Moreland Primary School,21,exact postcode,,,,,,"Hi {First} - I'm Joep from FC Urban. We run social football at Old St - Moreland Primary School, a 21-min walk from Axi Financial Services (Uk). Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",281,"Thanks for connecting, {First}.

Quick one - we run social football games at Old St - Moreland Primary School, about 21 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Axi Financial Services (Uk) who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Joep
FC Urban",,,,
96,Ordet,,Financial institution,EC2M 2TE,"23 WILSON STREET (3RD FLOOR) WILSON'S CORNER, LONDON",16/11/2017,GROUP,64209 - Activities of other holding companies n.e.c.,Old St - Moreland Primary School,21,exact postcode,,,,,,"Hi {First} - I'm Joep from FC Urban. We run social football at Old St - Moreland Primary School, a 21-min walk from Ordet. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",259,"Thanks for connecting, {First}.

Quick one - we run social football games at Old St - Moreland Primary School, about 21 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Ordet who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Joep
FC Urban",,,,
97,Bridge Insurance Brokers,,Financial institution,EC4N 8AW,"GALLAGHER THE WALBROOK BUILDING, LONDON",07/12/1970,FULL,65120 - Non-life insurance | 65202 - Non-life reinsurance | 66220 - Activities of insurance agents and brokers,Borough Academy,21,exact postcode,,,,,,"Hi {First} - I'm Joep from FC Urban. We run social football at Borough Academy, a 21-min walk from Bridge Insurance Brokers. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",261,"Thanks for connecting, {First}.

Quick one - we run social football games at Borough Academy, about 21 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Bridge Insurance Brokers who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Joep
FC Urban",,,,
98,H.W. Wood,,Financial institution,EC3N 3DQ,"1 LLOYD'S AVENUE, LONDON",02/06/1981,FULL,65120 - Non-life insurance | 65202 - Non-life reinsurance,Whitechapel,21,exact postcode,,,,,,"Hi {First} - I'm Joep from FC Urban. We run social football at Whitechapel, a 21-min walk from H.W. Wood. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",242,"Thanks for connecting, {First}.

Quick one - we run social football games at Whitechapel, about 21 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at H.W. Wood who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Joep
FC Urban",,,,
99,Afro Asian Insurance Services,,Financial institution,EC3N 3DQ,"DIXON HOUSE, LONDON",20/11/1987,FULL,65201 - Life reinsurance | 65202 - Non-life reinsurance,Whitechapel,21,exact postcode,,,,,,"Hi {First} - I'm Joep from FC Urban. We run social football at Whitechapel, a 21-min walk from Afro Asian Insurance Services. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",262,"Thanks for connecting, {First}.

Quick one - we run social football games at Whitechapel, about 21 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Afro Asian Insurance Services who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Joep
FC Urban",,,,
100,Devitt Insurance Services,,Financial institution,EC4N 8AW,"THE WALBROOK BUILDING, 25, LONDON",02/11/1989,FULL,66220 - Activities of insurance agents and brokers,Borough Academy,21,exact postcode,,,,,,"Hi {First} - I'm Joep from FC Urban. We run social football at Borough Academy, a 21-min walk from Devitt Insurance Services. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",262,"Thanks for connecting, {First}.

Quick one - we run social football games at Borough Academy, about 21 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Devitt Insurance Services who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Joep
FC Urban",,,,
