Business,Email,Email type,Phone (international),Website,Industry,Address,Postcode,City,Currently tagged venue,Walk to tagged venue (min),Tagged venue: booking status,Tagged venue: open after-work slots,Tagged venue: earliest slot,Haggerston Park: status,Best bookable alternatives nearby
Estorick Collection,roberta.cremoncini@estorickcollection.com,person_or_other,+44 20 7704 9522,https://www.estorickcollection.com/,tourism: gallery,"Canonbury Square 39a, London",N1 2AN,London,Rosemary Gardens 3G - Islington,17,No availability,No availability: No evening slots listed for full or half pitch on 28-29 Sep. 30 Sep onwards not released y,,Contact required: 020 8986 7955 (Mon-Fri 09:00-15:30) / hackney.marshes@gll.org. Playfinder shows fully booked,COLA Shoreditch Park: Tue 29 Sep 17:30 (£91) · 5-a-side · ~£9.10 per player at cost; Old St - Moreland Primary School: Fri 2 Oct 20:00 (£90) · 6-a-side · ~£7.50 per player at cost; Shoreditch Rooftop: Mon 28 Sep 18:00 (£72) · 5-a-side · ~£7.22 per player at cost; Stepney 3G: Mon 28 Sep 17:30 (£3/pp) · 5-a-side · ~£3.00 per player at cost
Le Labo,concierge@lelabofragrances.com,person_or_other,+44 20 7998 3320,https://www.lelabofragrances.com,shop: perfumery,"Cross Street 54, London",N1 2BA,London,Rosemary Gardens 3G - Islington,15,No availability,No availability: No evening slots listed for full or half pitch on 28-29 Sep. 30 Sep onwards not released y,,Contact required: 020 8986 7955 (Mon-Fri 09:00-15:30) / hackney.marshes@gll.org. Playfinder shows fully booked,COLA Shoreditch Park: Tue 29 Sep 17:30 (£91) · 5-a-side · ~£9.10 per player at cost; Old St - Moreland Primary School: Fri 2 Oct 20:00 (£90) · 6-a-side · ~£7.50 per player at cost; Shoreditch Rooftop: Mon 28 Sep 18:00 (£72) · 5-a-side · ~£7.22 per player at cost; Stepney 3G: Mon 28 Sep 17:30 (£3/pp) · 5-a-side · ~£3.00 per player at cost
Tribe,info@tribe-london.com,general,+44 20 7226 5544,https://www.tribe-london.com/,shop: clothes,"Cross Street 52, London",N1 2BA,London,Rosemary Gardens 3G - Islington,15,No availability,No availability: No evening slots listed for full or half pitch on 28-29 Sep. 30 Sep onwards not released y,,Contact required: 020 8986 7955 (Mon-Fri 09:00-15:30) / hackney.marshes@gll.org. Playfinder shows fully booked,COLA Shoreditch Park: Tue 29 Sep 17:30 (£91) · 5-a-side · ~£9.10 per player at cost; Old St - Moreland Primary School: Fri 2 Oct 20:00 (£90) · 6-a-side · ~£7.50 per player at cost; Shoreditch Rooftop: Mon 28 Sep 18:00 (£72) · 5-a-side · ~£7.22 per player at cost; Stepney 3G: Mon 28 Sep 17:30 (£3/pp) · 5-a-side · ~£3.00 per player at cost
Smokehouse,info@smokehouseislington.co.uk,openstreetmap_tag,+44 20 7354 1144,https://smokehouseislington.co.uk/,amenity: restaurant,"Canonbury Road 63-69, London",N1 2DG,London,Rosemary Gardens 3G - Islington,15,No availability,No availability: No evening slots listed for full or half pitch on 28-29 Sep. 30 Sep onwards not released y,,Contact required: 020 8986 7955 (Mon-Fri 09:00-15:30) / hackney.marshes@gll.org. Playfinder shows fully booked,COLA Shoreditch Park: Tue 29 Sep 17:30 (£91) · 5-a-side · ~£9.10 per player at cost; Old St - Moreland Primary School: Fri 2 Oct 20:00 (£90) · 6-a-side · ~£7.50 per player at cost; Shoreditch Rooftop: Mon 28 Sep 18:00 (£72) · 5-a-side · ~£7.22 per player at cost; Stepney 3G: Mon 28 Sep 17:30 (£3/pp) · 5-a-side · ~£3.00 per player at cost
Little Angel Theatre,info@littleangeltheatre.com,openstreetmap_tag,+44 20 7226 1787,https://www.littleangeltheatre.com,amenity: theatre,"Dagmar Passage 13, London",N1 2DN,London,Rosemary Gardens 3G - Islington,15,No availability,No availability: No evening slots listed for full or half pitch on 28-29 Sep. 30 Sep onwards not released y,,Contact required: 020 8986 7955 (Mon-Fri 09:00-15:30) / hackney.marshes@gll.org. Playfinder shows fully booked,COLA Shoreditch Park: Tue 29 Sep 17:30 (£91) · 5-a-side · ~£9.10 per player at cost; Old St - Moreland Primary School: Fri 2 Oct 20:00 (£90) · 6-a-side · ~£7.50 per player at cost; Shoreditch Rooftop: Mon 28 Sep 18:00 (£72) · 5-a-side · ~£7.22 per player at cost; Stepney 3G: Mon 28 Sep 17:30 (£3/pp) · 5-a-side · ~£3.00 per player at cost
St Mary's Church of England Primary School,school@stmarys.islington.sch.uk,person_or_other,+44 20 7359 1870,https://www.stmarys.islington.sch.uk/,amenity: school,"Fowler Road, London",N1 2EP,London,Rosemary Gardens 3G - Islington,14,No availability,No availability: No evening slots listed for full or half pitch on 28-29 Sep. 30 Sep onwards not released y,,Contact required: 020 8986 7955 (Mon-Fri 09:00-15:30) / hackney.marshes@gll.org. Playfinder shows fully booked,COLA Shoreditch Park: Tue 29 Sep 17:30 (£91) · 5-a-side · ~£9.10 per player at cost; Old St - Moreland Primary School: Fri 2 Oct 20:00 (£90) · 6-a-side · ~£7.50 per player at cost; Shoreditch Rooftop: Mon 28 Sep 18:00 (£72) · 5-a-side · ~£7.22 per player at cost; Stepney 3G: Mon 28 Sep 17:30 (£3/pp) · 5-a-side · ~£3.00 per player at cost
Myddleton Arms,info@myddletonarms.com,openstreetmap_tag,+44 20 7226 4595,https://myddletonarms.com/,amenity: pub,"Canonbury Road 52, London",N1 2HS,London,Rosemary Gardens 3G - Islington,12,No availability,No availability: No evening slots listed for full or half pitch on 28-29 Sep. 30 Sep onwards not released y,,Contact required: 020 8986 7955 (Mon-Fri 09:00-15:30) / hackney.marshes@gll.org. Playfinder shows fully booked,COLA Shoreditch Park: Tue 29 Sep 17:30 (£91) · 5-a-side · ~£9.10 per player at cost; Old St - Moreland Primary School: Fri 2 Oct 20:00 (£90) · 6-a-side · ~£7.50 per player at cost; Shoreditch Rooftop: Mon 28 Sep 18:00 (£72) · 5-a-side · ~£7.22 per player at cost; Stepney 3G: Mon 28 Sep 17:30 (£3/pp) · 5-a-side · ~£3.00 per player at cost
Tootoomoo,info@tootoomoo.co.uk,general,,https://www.tootoomoo.co.uk/islington,amenity: restaurant,"St. Paul's Road 278, London",N1 2LH,London,Rosemary Gardens 3G - Islington,19,No availability,No availability: No evening slots listed for full or half pitch on 28-29 Sep. 30 Sep onwards not released y,,Contact required: 020 8986 7955 (Mon-Fri 09:00-15:30) / hackney.marshes@gll.org. Playfinder shows fully booked,COLA Shoreditch Park: Tue 29 Sep 17:30 (£91) · 5-a-side · ~£9.10 per player at cost; Old St - Moreland Primary School: Fri 2 Oct 20:00 (£90) · 6-a-side · ~£7.50 per player at cost; Shoreditch Rooftop: Mon 28 Sep 18:00 (£72) · 5-a-side · ~£7.22 per player at cost; Stepney 3G: Mon 28 Sep 17:30 (£3/pp) · 5-a-side · ~£3.00 per player at cost
Sawyer & Gray,info@sawyerandgray.co.uk,openstreetmap_tag,,https://www.sawyerandgray.co.uk/,amenity: cafe,"St Paul's Road 290, London",N1 2LH,London,Rosemary Gardens 3G - Islington,20,No availability,No availability: No evening slots listed for full or half pitch on 28-29 Sep. 30 Sep onwards not released y,,Contact required: 020 8986 7955 (Mon-Fri 09:00-15:30) / hackney.marshes@gll.org. Playfinder shows fully booked,COLA Shoreditch Park: Tue 29 Sep 17:30 (£91) · 5-a-side · ~£9.10 per player at cost; Old St - Moreland Primary School: Fri 2 Oct 20:00 (£90) · 6-a-side · ~£7.50 per player at cost; Shoreditch Rooftop: Mon 28 Sep 18:00 (£72) · 5-a-side · ~£7.22 per player at cost; Stepney 3G: Mon 28 Sep 17:30 (£3/pp) · 5-a-side · ~£3.00 per player at cost
Tony Alan,info@tonyalan.co.uk,general,+44 20 7388 9977,https://tonyalan.co.uk/,estate_agent,"230 St. Paul's Road, London",N1 2LJ,London,Rosemary Gardens 3G - Islington,19,No availability,No availability: No evening slots listed for full or half pitch on 28-29 Sep. 30 Sep onwards not released y,,Contact required: 020 8986 7955 (Mon-Fri 09:00-15:30) / hackney.marshes@gll.org. Playfinder shows fully booked,COLA Shoreditch Park: Tue 29 Sep 17:30 (£91) · 5-a-side · ~£9.10 per player at cost; Old St - Moreland Primary School: Fri 2 Oct 20:00 (£90) · 6-a-side · ~£7.50 per player at cost; Shoreditch Rooftop: Mon 28 Sep 18:00 (£72) · 5-a-side · ~£7.22 per player at cost; Stepney 3G: Mon 28 Sep 17:30 (£3/pp) · 5-a-side · ~£3.00 per player at cost
Yield N1,hello@yieldn16.com,general,,https://www.yieldn1.com/,shop: wine,"St. Paul's Road 97, London",N1 2NA,London,Rosemary Gardens 3G - Islington,20,No availability,No availability: No evening slots listed for full or half pitch on 28-29 Sep. 30 Sep onwards not released y,,Contact required: 020 8986 7955 (Mon-Fri 09:00-15:30) / hackney.marshes@gll.org. Playfinder shows fully booked,COLA Shoreditch Park: Tue 29 Sep 17:30 (£91) · 5-a-side · ~£9.10 per player at cost; Old St - Moreland Primary School: Fri 2 Oct 20:00 (£90) · 6-a-side · ~£7.50 per player at cost; Shoreditch Rooftop: Mon 28 Sep 18:00 (£72) · 5-a-side · ~£7.22 per player at cost; Stepney 3G: Mon 28 Sep 17:30 (£3/pp) · 5-a-side · ~£3.00 per player at cost
North Bridge House Senior Canonbury School,nursery@northbridgehouse.com,person_or_other,+44 20 7267 6266,https://www.northbridgehouse.com/,amenity: school,"Canonbury Place 6-9, London",N1 2NQ,London,Rosemary Gardens 3G - Islington,15,No availability,No availability: No evening slots listed for full or half pitch on 28-29 Sep. 30 Sep onwards not released y,,Contact required: 020 8986 7955 (Mon-Fri 09:00-15:30) / hackney.marshes@gll.org. Playfinder shows fully booked,COLA Shoreditch Park: Tue 29 Sep 17:30 (£91) · 5-a-side · ~£9.10 per player at cost; Old St - Moreland Primary School: Fri 2 Oct 20:00 (£90) · 6-a-side · ~£7.50 per player at cost; Shoreditch Rooftop: Mon 28 Sep 18:00 (£72) · 5-a-side · ~£7.22 per player at cost; Stepney 3G: Mon 28 Sep 17:30 (£3/pp) · 5-a-side · ~£3.00 per player at cost
St Paul's Waldorf School,schooloffice@stpaulswaldorfschool.org,person_or_other,+44 20 7226 4454,https://www.stpaulswaldorfschool.org/,amenity: school,"St. Paul's Road 1, London",N1 2QH,London,Rosemary Gardens 3G - Islington,13,No availability,No availability: No evening slots listed for full or half pitch on 28-29 Sep. 30 Sep onwards not released y,,Contact required: 020 8986 7955 (Mon-Fri 09:00-15:30) / hackney.marshes@gll.org. Playfinder shows fully booked,COLA Shoreditch Park: Tue 29 Sep 17:30 (£91) · 5-a-side · ~£9.10 per player at cost; Old St - Moreland Primary School: Fri 2 Oct 20:00 (£90) · 6-a-side · ~£7.50 per player at cost; Shoreditch Rooftop: Mon 28 Sep 18:00 (£72) · 5-a-side · ~£7.22 per player at cost; Stepney 3G: Mon 28 Sep 17:30 (£3/pp) · 5-a-side · ~£3.00 per player at cost
Balfe's Bikes,islington@balfesbikes.co.uk,openstreetmap_tag,,https://www.balfesbikes.co.uk/islington/,shop: bicycle,"Essex Road 33, London",N1 2SA,London,Rosemary Gardens 3G - Islington,15,No availability,No availability: No evening slots listed for full or half pitch on 28-29 Sep. 30 Sep onwards not released y,,Contact required: 020 8986 7955 (Mon-Fri 09:00-15:30) / hackney.marshes@gll.org. Playfinder shows fully booked,COLA Shoreditch Park: Tue 29 Sep 17:30 (£91) · 5-a-side · ~£9.10 per player at cost; Old St - Moreland Primary School: Fri 2 Oct 20:00 (£90) · 6-a-side · ~£7.50 per player at cost; Shoreditch Rooftop: Mon 28 Sep 18:00 (£72) · 5-a-side · ~£7.22 per player at cost; Stepney 3G: Mon 28 Sep 17:30 (£3/pp) · 5-a-side · ~£3.00 per player at cost
Mac Ansys Limited,info@macansys.co.uk,general,+44 20 7359 4126,https://www.macansys.co.uk/,shop: computer,"Essex Road 121, London",N1 2SN,London,Rosemary Gardens 3G - Islington,12,No availability,No availability: No evening slots listed for full or half pitch on 28-29 Sep. 30 Sep onwards not released y,,Contact required: 020 8986 7955 (Mon-Fri 09:00-15:30) / hackney.marshes@gll.org. Playfinder shows fully booked,COLA Shoreditch Park: Tue 29 Sep 17:30 (£91) · 5-a-side · ~£9.10 per player at cost; Old St - Moreland Primary School: Fri 2 Oct 20:00 (£90) · 6-a-side · ~£7.50 per player at cost; Shoreditch Rooftop: Mon 28 Sep 18:00 (£72) · 5-a-side · ~£7.22 per player at cost; Stepney 3G: Mon 28 Sep 17:30 (£3/pp) · 5-a-side · ~£3.00 per player at cost
Sourdough Sophia,hello@sourdoughsophia.co.uk,general,,https://sourdoughsophia.co.uk/,shop: bakery,"Essex road 119, London",N1 2SN,London,Rosemary Gardens 3G - Islington,12,No availability,No availability: No evening slots listed for full or half pitch on 28-29 Sep. 30 Sep onwards not released y,,Contact required: 020 8986 7955 (Mon-Fri 09:00-15:30) / hackney.marshes@gll.org. Playfinder shows fully booked,COLA Shoreditch Park: Tue 29 Sep 17:30 (£91) · 5-a-side · ~£9.10 per player at cost; Old St - Moreland Primary School: Fri 2 Oct 20:00 (£90) · 6-a-side · ~£7.50 per player at cost; Shoreditch Rooftop: Mon 28 Sep 18:00 (£72) · 5-a-side · ~£7.22 per player at cost; Stepney 3G: Mon 28 Sep 17:30 (£3/pp) · 5-a-side · ~£3.00 per player at cost
Coexistence,enquiries@coexistence.co.uk,general,+44 20 8075 1890,https://www.coexistence.co.uk/,shop: furniture,"Upper Street 288, London",N1 2TZ,London,Rosemary Gardens 3G - Islington,16,No availability,No availability: No evening slots listed for full or half pitch on 28-29 Sep. 30 Sep onwards not released y,,Contact required: 020 8986 7955 (Mon-Fri 09:00-15:30) / hackney.marshes@gll.org. Playfinder shows fully booked,COLA Shoreditch Park: Tue 29 Sep 17:30 (£91) · 5-a-side · ~£9.10 per player at cost; Old St - Moreland Primary School: Fri 2 Oct 20:00 (£90) · 6-a-side · ~£7.50 per player at cost; Shoreditch Rooftop: Mon 28 Sep 18:00 (£72) · 5-a-side · ~£7.22 per player at cost; Stepney 3G: Mon 28 Sep 17:30 (£3/pp) · 5-a-side · ~£3.00 per player at cost
David Scotcher Interiors,info@davidscotcher.co.uk,openstreetmap_tag,+44 20 7354 4111,https://www.davidscotcher.co.uk/,shop: interior decoration,"Upper Street 285, London",N1 2TZ,London,Rosemary Gardens 3G - Islington,16,No availability,No availability: No evening slots listed for full or half pitch on 28-29 Sep. 30 Sep onwards not released y,,Contact required: 020 8986 7955 (Mon-Fri 09:00-15:30) / hackney.marshes@gll.org. Playfinder shows fully booked,COLA Shoreditch Park: Tue 29 Sep 17:30 (£91) · 5-a-side · ~£9.10 per player at cost; Old St - Moreland Primary School: Fri 2 Oct 20:00 (£90) · 6-a-side · ~£7.50 per player at cost; Shoreditch Rooftop: Mon 28 Sep 18:00 (£72) · 5-a-side · ~£7.22 per player at cost; Stepney 3G: Mon 28 Sep 17:30 (£3/pp) · 5-a-side · ~£3.00 per player at cost
New Unity @Upper Street,info@new-unity.org,general,,https://www.new-unity.org/,amenity: community centre,"Upper Street 277A, London",N1 2TZ,London,Rosemary Gardens 3G - Islington,16,No availability,No availability: No evening slots listed for full or half pitch on 28-29 Sep. 30 Sep onwards not released y,,Contact required: 020 8986 7955 (Mon-Fri 09:00-15:30) / hackney.marshes@gll.org. Playfinder shows fully booked,COLA Shoreditch Park: Tue 29 Sep 17:30 (£91) · 5-a-side · ~£9.10 per player at cost; Old St - Moreland Primary School: Fri 2 Oct 20:00 (£90) · 6-a-side · ~£7.50 per player at cost; Shoreditch Rooftop: Mon 28 Sep 18:00 (£72) · 5-a-side · ~£7.22 per player at cost; Stepney 3G: Mon 28 Sep 17:30 (£3/pp) · 5-a-side · ~£3.00 per player at cost
The Sampler,websales@thesampler.co.uk,person_or_other,,https://thesampler.co.uk/,shop: alcohol,"Upper Street 266, London",N1 2UQ,London,Rosemary Gardens 3G - Islington,18,No availability,No availability: No evening slots listed for full or half pitch on 28-29 Sep. 30 Sep onwards not released y,,Contact required: 020 8986 7955 (Mon-Fri 09:00-15:30) / hackney.marshes@gll.org. Playfinder shows fully booked,COLA Shoreditch Park: Tue 29 Sep 17:30 (£91) · 5-a-side · ~£9.10 per player at cost; Old St - Moreland Primary School: Fri 2 Oct 20:00 (£90) · 6-a-side · ~£7.50 per player at cost; Shoreditch Rooftop: Mon 28 Sep 18:00 (£72) · 5-a-side · ~£7.22 per player at cost; Stepney 3G: Mon 28 Sep 17:30 (£3/pp) · 5-a-side · ~£3.00 per player at cost
Noci,info@nocirestaurant.co.uk,general,+44 20 3540 8252,https://nocirestaurant.co.uk,amenity: restaurant,"Islington Green 4-6, London",N1 2XA,London,Rosemary Gardens 3G - Islington,17,No availability,No availability: No evening slots listed for full or half pitch on 28-29 Sep. 30 Sep onwards not released y,,Contact required: 020 8986 7955 (Mon-Fri 09:00-15:30) / hackney.marshes@gll.org. Playfinder shows fully booked,COLA Shoreditch Park: Tue 29 Sep 17:30 (£91) · 5-a-side · ~£9.10 per player at cost; Old St - Moreland Primary School: Fri 2 Oct 20:00 (£90) · 6-a-side · ~£7.50 per player at cost; Shoreditch Rooftop: Mon 28 Sep 18:00 (£72) · 5-a-side · ~£7.22 per player at cost; Stepney 3G: Mon 28 Sep 17:30 (£3/pp) · 5-a-side · ~£3.00 per player at cost
Goodbye Horses,hello@goodbyehorses.london,general,,http://goodbyehorses.london,amenity: restaurant,"Halliford Street 21, London",N1 3HB,London,Rosemary Gardens 3G - Islington,4,No availability,No availability: No evening slots listed for full or half pitch on 28-29 Sep. 30 Sep onwards not released y,,Contact required: 020 8986 7955 (Mon-Fri 09:00-15:30) / hackney.marshes@gll.org. Playfinder shows fully booked,COLA Shoreditch Park: Tue 29 Sep 17:30 (£91) · 5-a-side · ~£9.10 per player at cost; Old St - Moreland Primary School: Fri 2 Oct 20:00 (£90) · 6-a-side · ~£7.50 per player at cost; Shoreditch Rooftop: Mon 28 Sep 18:00 (£72) · 5-a-side · ~£7.22 per player at cost; Stepney 3G: Mon 28 Sep 17:30 (£3/pp) · 5-a-side · ~£3.00 per player at cost
The De Beauvoir Deli,info@thedebeauvoirdeli.co.uk,general,+44 20 7249 4321,https://thedebeauvoirdeli.co.uk/,shop: deli,"Southgate Road 98, London",N1 3JD,London,Rosemary Gardens 3G - Islington,6,No availability,No availability: No evening slots listed for full or half pitch on 28-29 Sep. 30 Sep onwards not released y,,Contact required: 020 8986 7955 (Mon-Fri 09:00-15:30) / hackney.marshes@gll.org. Playfinder shows fully booked,COLA Shoreditch Park: Tue 29 Sep 17:30 (£91) · 5-a-side · ~£9.10 per player at cost; Old St - Moreland Primary School: Fri 2 Oct 20:00 (£90) · 6-a-side · ~£7.50 per player at cost; Shoreditch Rooftop: Mon 28 Sep 18:00 (£72) · 5-a-side · ~£7.22 per player at cost; Stepney 3G: Mon 28 Sep 17:30 (£3/pp) · 5-a-side · ~£3.00 per player at cost
The De Beauvoir Arms,info@debeauvoirarms.com,general,+44 20 7359 7392,https://www.debeauvoirarms.com/,amenity: pub,"Southgate Road 113, London",N1 3JS,London,Rosemary Gardens 3G - Islington,6,No availability,No availability: No evening slots listed for full or half pitch on 28-29 Sep. 30 Sep onwards not released y,,Contact required: 020 8986 7955 (Mon-Fri 09:00-15:30) / hackney.marshes@gll.org. Playfinder shows fully booked,COLA Shoreditch Park: Tue 29 Sep 17:30 (£91) · 5-a-side · ~£9.10 per player at cost; Old St - Moreland Primary School: Fri 2 Oct 20:00 (£90) · 6-a-side · ~£7.50 per player at cost; Shoreditch Rooftop: Mon 28 Sep 18:00 (£72) · 5-a-side · ~£7.22 per player at cost; Stepney 3G: Mon 28 Sep 17:30 (£3/pp) · 5-a-side · ~£3.00 per player at cost
The Brave,info@thebravelondon.co.uk,general,,https://www.thebravelondon.co.uk/,amenity: pub,"Essex Road 340-342, London",N1 3PB,London,Rosemary Gardens 3G - Islington,9,No availability,No availability: No evening slots listed for full or half pitch on 28-29 Sep. 30 Sep onwards not released y,,Contact required: 020 8986 7955 (Mon-Fri 09:00-15:30) / hackney.marshes@gll.org. Playfinder shows fully booked,COLA Shoreditch Park: Tue 29 Sep 17:30 (£91) · 5-a-side · ~£9.10 per player at cost; Old St - Moreland Primary School: Fri 2 Oct 20:00 (£90) · 6-a-side · ~£7.50 per player at cost; Shoreditch Rooftop: Mon 28 Sep 18:00 (£72) · 5-a-side · ~£7.22 per player at cost; Stepney 3G: Mon 28 Sep 17:30 (£3/pp) · 5-a-side · ~£3.00 per player at cost
Trade,essexroad@trade-made.co.uk,openstreetmap_tag,+44 20 3490 1880,https://www.trade-made.co.uk,amenity: cafe,"Essex Road 330, London",N1 3PB,London,Rosemary Gardens 3G - Islington,9,No availability,No availability: No evening slots listed for full or half pitch on 28-29 Sep. 30 Sep onwards not released y,,Contact required: 020 8986 7955 (Mon-Fri 09:00-15:30) / hackney.marshes@gll.org. Playfinder shows fully booked,COLA Shoreditch Park: Tue 29 Sep 17:30 (£91) · 5-a-side · ~£9.10 per player at cost; Old St - Moreland Primary School: Fri 2 Oct 20:00 (£90) · 6-a-side · ~£7.50 per player at cost; Shoreditch Rooftop: Mon 28 Sep 18:00 (£72) · 5-a-side · ~£7.22 per player at cost; Stepney 3G: Mon 28 Sep 17:30 (£3/pp) · 5-a-side · ~£3.00 per player at cost
Sutton and Sons,islington@suttonandsons.co.uk,openstreetmap_tag,+44 20 7359 1210,http://www.suttonandsons.co.uk/,amenity: fast food,"Essex Road 356, London",N1 3PD,London,Rosemary Gardens 3G - Islington,10,No availability,No availability: No evening slots listed for full or half pitch on 28-29 Sep. 30 Sep onwards not released y,,Contact required: 020 8986 7955 (Mon-Fri 09:00-15:30) / hackney.marshes@gll.org. Playfinder shows fully booked,COLA Shoreditch Park: Tue 29 Sep 17:30 (£91) · 5-a-side · ~£9.10 per player at cost; Old St - Moreland Primary School: Fri 2 Oct 20:00 (£90) · 6-a-side · ~£7.50 per player at cost; Shoreditch Rooftop: Mon 28 Sep 18:00 (£72) · 5-a-side · ~£7.22 per player at cost; Stepney 3G: Mon 28 Sep 17:30 (£3/pp) · 5-a-side · ~£3.00 per player at cost
Lestro Cycles,info@lestrocycles.co.uk,general,,https://www.lestrocycles.co.uk,shop: bicycle,"Balls Pond Road 144, London",N1 4AD,London,Rosemary Gardens 3G - Islington,14,No availability,No availability: No evening slots listed for full or half pitch on 28-29 Sep. 30 Sep onwards not released y,,Contact required: 020 8986 7955 (Mon-Fri 09:00-15:30) / hackney.marshes@gll.org. Playfinder shows fully booked,COLA Shoreditch Park: Tue 29 Sep 17:30 (£91) · 5-a-side · ~£9.10 per player at cost; Old St - Moreland Primary School: Fri 2 Oct 20:00 (£90) · 6-a-side · ~£7.50 per player at cost; Shoreditch Rooftop: Mon 28 Sep 18:00 (£72) · 5-a-side · ~£7.22 per player at cost; Stepney 3G: Mon 28 Sep 17:30 (£3/pp) · 5-a-side · ~£3.00 per player at cost
Ed's Shed,info@adormo.com,general,,http://www.adormo.com/en/Designer-Family-Home-in-Central-London/3781,tourism: guest house,"De Beauvoir Road 75A, London",N1 4EL,London,Rosemary Gardens 3G - Islington,9,No availability,No availability: No evening slots listed for full or half pitch on 28-29 Sep. 30 Sep onwards not released y,,Contact required: 020 8986 7955 (Mon-Fri 09:00-15:30) / hackney.marshes@gll.org. Playfinder shows fully booked,COLA Shoreditch Park: Tue 29 Sep 17:30 (£91) · 5-a-side · ~£9.10 per player at cost; Old St - Moreland Primary School: Fri 2 Oct 20:00 (£90) · 6-a-side · ~£7.50 per player at cost; Shoreditch Rooftop: Mon 28 Sep 18:00 (£72) · 5-a-side · ~£7.22 per player at cost; Stepney 3G: Mon 28 Sep 17:30 (£3/pp) · 5-a-side · ~£3.00 per player at cost
De Beauvoir Block,info@debeauvoirblock.com,general,,https://www.debeauvoirblock.com,coworking,"92-96 De Beauvoir Road, London",N1 4EN,London,Rosemary Gardens 3G - Islington,10,No availability,No availability: No evening slots listed for full or half pitch on 28-29 Sep. 30 Sep onwards not released y,,Contact required: 020 8986 7955 (Mon-Fri 09:00-15:30) / hackney.marshes@gll.org. Playfinder shows fully booked,COLA Shoreditch Park: Tue 29 Sep 17:30 (£91) · 5-a-side · ~£9.10 per player at cost; Old St - Moreland Primary School: Fri 2 Oct 20:00 (£90) · 6-a-side · ~£7.50 per player at cost; Shoreditch Rooftop: Mon 28 Sep 18:00 (£72) · 5-a-side · ~£7.22 per player at cost; Stepney 3G: Mon 28 Sep 17:30 (£3/pp) · 5-a-side · ~£3.00 per player at cost
Hector's,hello@hectorslondon.co.uk,general,,https://hectorslondon.co.uk,shop: wine,"Ardleigh Road 49A, London",N1 4HS,London,Rosemary Gardens 3G - Islington,12,No availability,No availability: No evening slots listed for full or half pitch on 28-29 Sep. 30 Sep onwards not released y,,Contact required: 020 8986 7955 (Mon-Fri 09:00-15:30) / hackney.marshes@gll.org. Playfinder shows fully booked,COLA Shoreditch Park: Tue 29 Sep 17:30 (£91) · 5-a-side · ~£9.10 per player at cost; Old St - Moreland Primary School: Fri 2 Oct 20:00 (£90) · 6-a-side · ~£7.50 per player at cost; Shoreditch Rooftop: Mon 28 Sep 18:00 (£72) · 5-a-side · ~£7.22 per player at cost; Stepney 3G: Mon 28 Sep 17:30 (£3/pp) · 5-a-side · ~£3.00 per player at cost
The Scolt Head,bookings@thescolthead.co.uk,commercial,+44 20 7254 3965,http://www.thescolthead.co.uk/,amenity: pub,"Culford Road 107A, London",N1 4HT,London,Rosemary Gardens 3G - Islington,10,No availability,No availability: No evening slots listed for full or half pitch on 28-29 Sep. 30 Sep onwards not released y,,Contact required: 020 8986 7955 (Mon-Fri 09:00-15:30) / hackney.marshes@gll.org. Playfinder shows fully booked,COLA Shoreditch Park: Tue 29 Sep 17:30 (£91) · 5-a-side · ~£9.10 per player at cost; Old St - Moreland Primary School: Fri 2 Oct 20:00 (£90) · 6-a-side · ~£7.50 per player at cost; Shoreditch Rooftop: Mon 28 Sep 18:00 (£72) · 5-a-side · ~£7.22 per player at cost; Stepney 3G: Mon 28 Sep 17:30 (£3/pp) · 5-a-side · ~£3.00 per player at cost
The Children's House Upper School,earlyyears@childrenshouseschool.co.uk,person_or_other,+44 20 7249 6273,https://www.childrenshouseschool.co.uk/,amenity: school,"King Henry's Walk, London",N1 4PB,London,Rosemary Gardens 3G - Islington,20,No availability,No availability: No evening slots listed for full or half pitch on 28-29 Sep. 30 Sep onwards not released y,,Contact required: 020 8986 7955 (Mon-Fri 09:00-15:30) / hackney.marshes@gll.org. Playfinder shows fully booked,COLA Shoreditch Park: Tue 29 Sep 17:30 (£91) · 5-a-side · ~£9.10 per player at cost; Old St - Moreland Primary School: Fri 2 Oct 20:00 (£90) · 6-a-side · ~£7.50 per player at cost; Shoreditch Rooftop: Mon 28 Sep 18:00 (£72) · 5-a-side · ~£7.22 per player at cost; Stepney 3G: Mon 28 Sep 17:30 (£3/pp) · 5-a-side · ~£3.00 per player at cost
Oi Vita Pizzeria,oivitapizzeria@gmail.com,openstreetmap_tag,+44 20 3302 8700,https://oivita.london,amenity: restaurant,"Newington Green Road 67, London",N1 4QU,London,Rosemary Gardens 3G - Islington,17,No availability,No availability: No evening slots listed for full or half pitch on 28-29 Sep. 30 Sep onwards not released y,,Contact required: 020 8986 7955 (Mon-Fri 09:00-15:30) / hackney.marshes@gll.org. Playfinder shows fully booked,COLA Shoreditch Park: Tue 29 Sep 17:30 (£91) · 5-a-side · ~£9.10 per player at cost; Old St - Moreland Primary School: Fri 2 Oct 20:00 (£90) · 6-a-side · ~£7.50 per player at cost; Shoreditch Rooftop: Mon 28 Sep 18:00 (£72) · 5-a-side · ~£7.22 per player at cost; Stepney 3G: Mon 28 Sep 17:30 (£3/pp) · 5-a-side · ~£3.00 per player at cost
