Business,Industry,Website,Address,Postcode,Nearest FC Urban venue,Walk (min),Contact first name,Contact full name,Contact job title,LinkedIn URL,Connection note (<=300),Note length,Follow-up DM,InMail subject,InMail body,LinkedIn status,Connected at,Replied,Notes
Credit Agricole,finance,http://www.ca-cib.com/,"Broadwalk House, 5 Appold St, London EC2A 2DA, UK",EC2A 2DA,Old St - Moreland Primary School,23,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Old St - Moreland Primary School, a 23-min walk from Credit Agricole. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",270,"Thanks for connecting, {First}.

Quick one - we run social football games at Old St - Moreland Primary School, about 23 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Credit Agricole who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",After-work football near Credit Agricole,"Hi {First},

I'm Brian from FC Urban - we organise social football games across London where people just turn up and play.

We run games at Old St - Moreland Primary School, a 23-minute walk from your office. We're looking for someone at Credit Agricole who'd enjoy helping get a regular after-work game going for colleagues. We take care of the pitch, the payments and the organising, and top the group up with our own players if numbers are short - so it needs one person internally who likes football, not an organiser.

Would you be the right person, or could you point me to whoever looks after wellbeing or staff socials?

Brian
FC Urban",,,,
Heighten Accountants,finance,https://heightenaccountants.co.uk/,"Heighten Accountants, 80 Coleman St, London EC2R 5BJ, UK",EC2R 5BJ,Old St - Moreland Primary School,23,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Old St - Moreland Primary School, a 23-min walk from Heighten Accountants. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",275,"Thanks for connecting, {First}.

Quick one - we run social football games at Old St - Moreland Primary School, about 23 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Heighten Accountants who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",After-work football near Heighten Accountants,"Hi {First},

I'm Brian from FC Urban - we organise social football games across London where people just turn up and play.

We run games at Old St - Moreland Primary School, a 23-minute walk from your office. We're looking for someone at Heighten Accountants who'd enjoy helping get a regular after-work game going for colleagues. We take care of the pitch, the payments and the organising, and top the group up with our own players if numbers are short - so it needs one person internally who likes football, not an organiser.

Would you be the right person, or could you point me to whoever looks after wellbeing or staff socials?

Brian
FC Urban",,,,
Lawes Consulting Group,insurance_agency,http://www.lawesgroup.co.uk/,"63 St Mary Axe, London EC3A 8AA, UK",EC3A 8AA,Whitechapel,23,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Whitechapel, a 23-min walk from Lawes Consulting Group. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",256,"Thanks for connecting, {First}.

Quick one - we run social football games at Whitechapel, about 23 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Lawes Consulting Group who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",After-work football near Lawes Consulting Group,"Hi {First},

I'm Brian from FC Urban - we organise social football games across London where people just turn up and play.

We run games at Whitechapel, a 23-minute walk from your office. We're looking for someone at Lawes Consulting Group who'd enjoy helping get a regular after-work game going for colleagues. We take care of the pitch, the payments and the organising, and top the group up with our own players if numbers are short - so it needs one person internally who likes football, not an organiser.

Would you be the right person, or could you point me to whoever looks after wellbeing or staff socials?

Brian
FC Urban",,,,
Leadenhall Capital Partners LLP,finance,https://www.leadenhallcp.com/,"70 Mark Ln, London EC3R 7NQ, UK",EC3R 7NQ,Whitechapel,23,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Whitechapel, a 23-min walk from Leadenhall Capital Partners LLP. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",265,"Thanks for connecting, {First}.

Quick one - we run social football games at Whitechapel, about 23 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Leadenhall Capital Partners LLP who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",After-work football near Leadenhall Capital Partners LLP,"Hi {First},

I'm Brian from FC Urban - we organise social football games across London where people just turn up and play.

We run games at Whitechapel, a 23-minute walk from your office. We're looking for someone at Leadenhall Capital Partners LLP who'd enjoy helping get a regular after-work game going for colleagues. We take care of the pitch, the payments and the organising, and top the group up with our own players if numbers are short - so it needs one person internally who likes football, not an organiser.

Would you be the right person, or could you point me to whoever looks after wellbeing or staff socials?

Brian
FC Urban",,,,
Lubbock Fine LLP,finance,https://www.lubbockfine.co.uk/,"Paternoster House, 65 St. Paul's Churchyard, London EC4M 8AB, UK",EC4M 8AB,Borough Academy,23,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Borough Academy, a 23-min walk from Lubbock Fine LLP. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",254,"Thanks for connecting, {First}.

Quick one - we run social football games at Borough Academy, about 23 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Lubbock Fine LLP who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",After-work football near Lubbock Fine LLP,"Hi {First},

I'm Brian from FC Urban - we organise social football games across London where people just turn up and play.

We run games at Borough Academy, a 23-minute walk from your office. We're looking for someone at Lubbock Fine LLP who'd enjoy helping get a regular after-work game going for colleagues. We take care of the pitch, the payments and the organising, and top the group up with our own players if numbers are short - so it needs one person internally who likes football, not an organiser.

Would you be the right person, or could you point me to whoever looks after wellbeing or staff socials?

Brian
FC Urban",,,,
Mirandus Accountants,finance,http://www.mirandusaccountants.co.uk/,"5 St Bride St, London EC4A 4AS, UK",EC4A 4AS,Borough Academy,23,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Borough Academy, a 23-min walk from Mirandus Accountants. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",258,"Thanks for connecting, {First}.

Quick one - we run social football games at Borough Academy, about 23 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Mirandus Accountants who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",After-work football near Mirandus Accountants,"Hi {First},

I'm Brian from FC Urban - we organise social football games across London where people just turn up and play.

We run games at Borough Academy, a 23-minute walk from your office. We're looking for someone at Mirandus Accountants who'd enjoy helping get a regular after-work game going for colleagues. We take care of the pitch, the payments and the organising, and top the group up with our own players if numbers are short - so it needs one person internally who likes football, not an organiser.

Would you be the right person, or could you point me to whoever looks after wellbeing or staff socials?

Brian
FC Urban",,,,
Ocean Capital Partners Limited,finance,http://oceancap.com/,"5 Cheapside, London EC2V 6AA, UK",EC2V 6AA,Borough Academy,23,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Borough Academy, a 23-min walk from Ocean Capital Partners Limited. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",268,"Thanks for connecting, {First}.

Quick one - we run social football games at Borough Academy, about 23 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Ocean Capital Partners Limited who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",After-work football near Ocean Capital Partners Limited,"Hi {First},

I'm Brian from FC Urban - we organise social football games across London where people just turn up and play.

We run games at Borough Academy, a 23-minute walk from your office. We're looking for someone at Ocean Capital Partners Limited who'd enjoy helping get a regular after-work game going for colleagues. We take care of the pitch, the payments and the organising, and top the group up with our own players if numbers are short - so it needs one person internally who likes football, not an organiser.

Would you be the right person, or could you point me to whoever looks after wellbeing or staff socials?

Brian
FC Urban",,,,
SH Accounting & Bookkeeping Ltd,finance,http://sh-ab.co.uk/,"288 Bishopsgate, London EC2M 4QP, UK",EC2M 4QP,Whitechapel,23,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Whitechapel, a 23-min walk from SH Accounting & Bookkeeping Ltd. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",265,"Thanks for connecting, {First}.

Quick one - we run social football games at Whitechapel, about 23 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at SH Accounting & Bookkeeping Ltd who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",After-work football near SH Accounting & Bookkeeping Ltd,"Hi {First},

I'm Brian from FC Urban - we organise social football games across London where people just turn up and play.

We run games at Whitechapel, a 23-minute walk from your office. We're looking for someone at SH Accounting & Bookkeeping Ltd who'd enjoy helping get a regular after-work game going for colleagues. We take care of the pitch, the payments and the organising, and top the group up with our own players if numbers are short - so it needs one person internally who likes football, not an organiser.

Would you be the right person, or could you point me to whoever looks after wellbeing or staff socials?

Brian
FC Urban",,,,
Shawpoint,finance,https://www.shawpoint.com/,"107 Fleet St, London EC4A 2AB, UK",EC4A 2AB,Borough Academy,23,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Borough Academy, a 23-min walk from Shawpoint. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",247,"Thanks for connecting, {First}.

Quick one - we run social football games at Borough Academy, about 23 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Shawpoint who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",After-work football near Shawpoint,"Hi {First},

I'm Brian from FC Urban - we organise social football games across London where people just turn up and play.

We run games at Borough Academy, a 23-minute walk from your office. We're looking for someone at Shawpoint who'd enjoy helping get a regular after-work game going for colleagues. We take care of the pitch, the payments and the organising, and top the group up with our own players if numbers are short - so it needs one person internally who likes football, not an organiser.

Would you be the right person, or could you point me to whoever looks after wellbeing or staff socials?

Brian
FC Urban",,,,
Sterling & Wells Accountants,finance,https://sterlingandwells.com/,"Ste 809, Salisbury House, 29 Finsbury Circus, London EC2M 7AQ, UK",EC2M 7AQ,Old St - Moreland Primary School,23,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Old St - Moreland Primary School, a 23-min walk from Sterling & Wells Accountants. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",283,"Thanks for connecting, {First}.

Quick one - we run social football games at Old St - Moreland Primary School, about 23 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Sterling & Wells Accountants who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",After-work football near Sterling & Wells Accountants,"Hi {First},

I'm Brian from FC Urban - we organise social football games across London where people just turn up and play.

We run games at Old St - Moreland Primary School, a 23-minute walk from your office. We're looking for someone at Sterling & Wells Accountants who'd enjoy helping get a regular after-work game going for colleagues. We take care of the pitch, the payments and the organising, and top the group up with our own players if numbers are short - so it needs one person internally who likes football, not an organiser.

Would you be the right person, or could you point me to whoever looks after wellbeing or staff socials?

Brian
FC Urban",,,,
Vision Consulting Chartered Accountants,finance,https://www.visionconsulting.co.uk/accountants/city-of-london?utm_source=google&utm_medium=organic&utm_campaign=gbp-city-of-london,"The Gherkin, 28th Floor, 30 St Mary Axe, London EC3A 8EP, UK",EC3A 8EP,Whitechapel,23,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Whitechapel, a 23-min walk from Vision Consulting Chartered Accountants. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",273,"Thanks for connecting, {First}.

Quick one - we run social football games at Whitechapel, about 23 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Vision Consulting Chartered Accountants who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",After-work football near Vision Consulting Chartered Accountants,"Hi {First},

I'm Brian from FC Urban - we organise social football games across London where people just turn up and play.

We run games at Whitechapel, a 23-minute walk from your office. We're looking for someone at Vision Consulting Chartered Accountants who'd enjoy helping get a regular after-work game going for colleagues. We take care of the pitch, the payments and the organising, and top the group up with our own players if numbers are short - so it needs one person internally who likes football, not an organiser.

Would you be the right person, or could you point me to whoever looks after wellbeing or staff socials?

Brian
FC Urban",,,,
AXA Health,insurance_agency,https://www.axahealth.co.uk/,"20 Gracechurch St, London EC3V 0BG, UK",EC3V 0BG,Borough Academy,24,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Borough Academy, a 24-min walk from AXA Health. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",248,"Thanks for connecting, {First}.

Quick one - we run social football games at Borough Academy, about 24 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at AXA Health who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",After-work football near AXA Health,"Hi {First},

I'm Brian from FC Urban - we organise social football games across London where people just turn up and play.

We run games at Borough Academy, a 24-minute walk from your office. We're looking for someone at AXA Health who'd enjoy helping get a regular after-work game going for colleagues. We take care of the pitch, the payments and the organising, and top the group up with our own players if numbers are short - so it needs one person internally who likes football, not an organiser.

Would you be the right person, or could you point me to whoever looks after wellbeing or staff socials?

Brian
FC Urban",,,,
AXA UK plc,insurance_agency,https://www.axa.co.uk/,"20 Gracechurch St, London EC3V 0BG, UK",EC3V 0BG,Borough Academy,24,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Borough Academy, a 24-min walk from AXA UK plc. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",248,"Thanks for connecting, {First}.

Quick one - we run social football games at Borough Academy, about 24 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at AXA UK plc who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",After-work football near AXA UK plc,"Hi {First},

I'm Brian from FC Urban - we organise social football games across London where people just turn up and play.

We run games at Borough Academy, a 24-minute walk from your office. We're looking for someone at AXA UK plc who'd enjoy helping get a regular after-work game going for colleagues. We take care of the pitch, the payments and the organising, and top the group up with our own players if numbers are short - so it needs one person internally who likes football, not an organiser.

Would you be the right person, or could you point me to whoever looks after wellbeing or staff socials?

Brian
FC Urban",,,,
Ageas Insurance,insurance_agency,https://www.ageas.co.uk/,"100 Bishopsgate, London EC2N 4AG, UK",EC2N 4AG,Whitechapel,24,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Whitechapel, a 24-min walk from Ageas Insurance. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",249,"Thanks for connecting, {First}.

Quick one - we run social football games at Whitechapel, about 24 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Ageas Insurance who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",After-work football near Ageas Insurance,"Hi {First},

I'm Brian from FC Urban - we organise social football games across London where people just turn up and play.

We run games at Whitechapel, a 24-minute walk from your office. We're looking for someone at Ageas Insurance who'd enjoy helping get a regular after-work game going for colleagues. We take care of the pitch, the payments and the organising, and top the group up with our own players if numbers are short - so it needs one person internally who likes football, not an organiser.

Would you be the right person, or could you point me to whoever looks after wellbeing or staff socials?

Brian
FC Urban",,,,
Allenby Capital,finance,http://www.allenbycapital.com/,"5 St Helen's Pl, London EC3A 6AB, UK",EC3A 6AB,Whitechapel,24,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Whitechapel, a 24-min walk from Allenby Capital. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",249,"Thanks for connecting, {First}.

Quick one - we run social football games at Whitechapel, about 24 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Allenby Capital who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",After-work football near Allenby Capital,"Hi {First},

I'm Brian from FC Urban - we organise social football games across London where people just turn up and play.

We run games at Whitechapel, a 24-minute walk from your office. We're looking for someone at Allenby Capital who'd enjoy helping get a regular after-work game going for colleagues. We take care of the pitch, the payments and the organising, and top the group up with our own players if numbers are short - so it needs one person internally who likes football, not an organiser.

Would you be the right person, or could you point me to whoever looks after wellbeing or staff socials?

Brian
FC Urban",,,,
Ancala,finance,http://ancala.com/,"20 Gracechurch St, London EC3V 0AF, UK",EC3V 0AF,Borough Academy,24,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Borough Academy, a 24-min walk from Ancala. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",244,"Thanks for connecting, {First}.

Quick one - we run social football games at Borough Academy, about 24 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Ancala who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",After-work football near Ancala,"Hi {First},

I'm Brian from FC Urban - we organise social football games across London where people just turn up and play.

We run games at Borough Academy, a 24-minute walk from your office. We're looking for someone at Ancala who'd enjoy helping get a regular after-work game going for colleagues. We take care of the pitch, the payments and the organising, and top the group up with our own players if numbers are short - so it needs one person internally who likes football, not an organiser.

Would you be the right person, or could you point me to whoever looks after wellbeing or staff socials?

Brian
FC Urban",,,,
Blake Morgan | London Law Firm,finance,https://www.blakemorgan.co.uk/,"100 Fetter Ln, London EC4A 1DS, UK",EC4A 1DS,Old St - Moreland Primary School,24,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Old St - Moreland Primary School, a 24-min walk from Blake Morgan | London Law Firm. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",285,"Thanks for connecting, {First}.

Quick one - we run social football games at Old St - Moreland Primary School, about 24 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Blake Morgan | London Law Firm who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",After-work football near Blake Morgan | London Law Firm,"Hi {First},

I'm Brian from FC Urban - we organise social football games across London where people just turn up and play.

We run games at Old St - Moreland Primary School, a 24-minute walk from your office. We're looking for someone at Blake Morgan | London Law Firm who'd enjoy helping get a regular after-work game going for colleagues. We take care of the pitch, the payments and the organising, and top the group up with our own players if numbers are short - so it needs one person internally who likes football, not an organiser.

Would you be the right person, or could you point me to whoever looks after wellbeing or staff socials?

Brian
FC Urban",,,,
Britannia Financial Group,finance,http://www.britannia.com/,"52 Lime St, London EC3M 7AF, UK",EC3M 7AF,Whitechapel,24,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Whitechapel, a 24-min walk from Britannia Financial Group. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",259,"Thanks for connecting, {First}.

Quick one - we run social football games at Whitechapel, about 24 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Britannia Financial Group who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",After-work football near Britannia Financial Group,"Hi {First},

I'm Brian from FC Urban - we organise social football games across London where people just turn up and play.

We run games at Whitechapel, a 24-minute walk from your office. We're looking for someone at Britannia Financial Group who'd enjoy helping get a regular after-work game going for colleagues. We take care of the pitch, the payments and the organising, and top the group up with our own players if numbers are short - so it needs one person internally who likes football, not an organiser.

Would you be the right person, or could you point me to whoever looks after wellbeing or staff socials?

Brian
FC Urban",,,,
CACEIS,finance,http://www.caceis.com/,"Broadwalk House, 5 Appold St, London EC2A 2AG, UK",EC2A 2AG,Old St - Moreland Primary School,24,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Old St - Moreland Primary School, a 24-min walk from CACEIS. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",261,"Thanks for connecting, {First}.

Quick one - we run social football games at Old St - Moreland Primary School, about 24 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at CACEIS who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",After-work football near CACEIS,"Hi {First},

I'm Brian from FC Urban - we organise social football games across London where people just turn up and play.

We run games at Old St - Moreland Primary School, a 24-minute walk from your office. We're looking for someone at CACEIS who'd enjoy helping get a regular after-work game going for colleagues. We take care of the pitch, the payments and the organising, and top the group up with our own players if numbers are short - so it needs one person internally who likes football, not an organiser.

Would you be the right person, or could you point me to whoever looks after wellbeing or staff socials?

Brian
FC Urban",,,,
Equiteq,finance,https://www.equiteq.com/,"2nd Floor, 41 Eastcheap, London EC3M 1DT, UK",EC3M 1DT,Borough Academy,24,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Borough Academy, a 24-min walk from Equiteq. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",245,"Thanks for connecting, {First}.

Quick one - we run social football games at Borough Academy, about 24 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Equiteq who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",After-work football near Equiteq,"Hi {First},

I'm Brian from FC Urban - we organise social football games across London where people just turn up and play.

We run games at Borough Academy, a 24-minute walk from your office. We're looking for someone at Equiteq who'd enjoy helping get a regular after-work game going for colleagues. We take care of the pitch, the payments and the organising, and top the group up with our own players if numbers are short - so it needs one person internally who likes football, not an organiser.

Would you be the right person, or could you point me to whoever looks after wellbeing or staff socials?

Brian
FC Urban",,,,
Equity Trust Investment Bank,finance,https://equitytrust.uk/,"25TH FLOOR, Heron Tower, 110 Bishopsgate, London EC2N 4AY, UK",EC2N 4AY,Whitechapel,24,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Whitechapel, a 24-min walk from Equity Trust Investment Bank. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",262,"Thanks for connecting, {First}.

Quick one - we run social football games at Whitechapel, about 24 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Equity Trust Investment Bank who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",After-work football near Equity Trust Investment Bank,"Hi {First},

I'm Brian from FC Urban - we organise social football games across London where people just turn up and play.

We run games at Whitechapel, a 24-minute walk from your office. We're looking for someone at Equity Trust Investment Bank who'd enjoy helping get a regular after-work game going for colleagues. We take care of the pitch, the payments and the organising, and top the group up with our own players if numbers are short - so it needs one person internally who likes football, not an organiser.

Would you be the right person, or could you point me to whoever looks after wellbeing or staff socials?

Brian
FC Urban",,,,
Excellence Accounting,finance,http://excellenceaccounting.com/,"70 Gracechurch St, London EC3V 0HR, UK",EC3V 0HR,Borough Academy,24,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Borough Academy, a 24-min walk from Excellence Accounting. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",259,"Thanks for connecting, {First}.

Quick one - we run social football games at Borough Academy, about 24 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Excellence Accounting who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",After-work football near Excellence Accounting,"Hi {First},

I'm Brian from FC Urban - we organise social football games across London where people just turn up and play.

We run games at Borough Academy, a 24-minute walk from your office. We're looking for someone at Excellence Accounting who'd enjoy helping get a regular after-work game going for colleagues. We take care of the pitch, the payments and the organising, and top the group up with our own players if numbers are short - so it needs one person internally who likes football, not an organiser.

Would you be the right person, or could you point me to whoever looks after wellbeing or staff socials?

Brian
FC Urban",,,,
Fenchurch Advisory Partners,consultant,http://www.fenchurchadvisory.com/,"Heron Tower, 110 Bishopsgate, London EC2N 4AY, UK",EC2N 4AY,Whitechapel,24,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Whitechapel, a 24-min walk from Fenchurch Advisory Partners. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",261,"Thanks for connecting, {First}.

Quick one - we run social football games at Whitechapel, about 24 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Fenchurch Advisory Partners who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",After-work football near Fenchurch Advisory Partners,"Hi {First},

I'm Brian from FC Urban - we organise social football games across London where people just turn up and play.

We run games at Whitechapel, a 24-minute walk from your office. We're looking for someone at Fenchurch Advisory Partners who'd enjoy helping get a regular after-work game going for colleagues. We take care of the pitch, the payments and the organising, and top the group up with our own players if numbers are short - so it needs one person internally who likes football, not an organiser.

Would you be the right person, or could you point me to whoever looks after wellbeing or staff socials?

Brian
FC Urban",,,,
Ferguson Maidment & Co,finance,http://www.ferguson-maidment.co.uk/,"167 Fleet St, London EC4A 2EA, UK",EC4A 2EA,Borough Academy,24,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Borough Academy, a 24-min walk from Ferguson Maidment & Co. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",260,"Thanks for connecting, {First}.

Quick one - we run social football games at Borough Academy, about 24 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Ferguson Maidment & Co who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",After-work football near Ferguson Maidment & Co,"Hi {First},

I'm Brian from FC Urban - we organise social football games across London where people just turn up and play.

We run games at Borough Academy, a 24-minute walk from your office. We're looking for someone at Ferguson Maidment & Co who'd enjoy helping get a regular after-work game going for colleagues. We take care of the pitch, the payments and the organising, and top the group up with our own players if numbers are short - so it needs one person internally who likes football, not an organiser.

Would you be the right person, or could you point me to whoever looks after wellbeing or staff socials?

Brian
FC Urban",,,,
