Company name,Companies House number,Category,Postcode,Registered address,Incorporated,Accounts type,SIC codes,Nearest FC Urban venue,Walk (min),Venue match,In existing FC Urban sheet?,Contact first name,Contact full name,Contact job title,LinkedIn URL,Connection note (<=300),Note length,Follow-up DM,LinkedIn status,Connected at,Replied,Notes
Many Group,,Financial institution,EC1R 5BD,"UNIT 1B 1-10, LONDON",12/08/2020,GROUP,64209 - Activities of other holding companies n.e.c.,Old St - Moreland Primary School,16,exact postcode,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Old St - Moreland Primary School, a 16-min walk from Many Group. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",265,"Thanks for connecting, {First}.

Quick one - we run social football games at Old St - Moreland Primary School, about 16 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Many Group who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Manypets,,Financial institution,EC1R 5BD,"UNIT 1B, LONDON",19/12/2011,FULL,66220 - Activities of insurance agents and brokers,Old St - Moreland Primary School,16,exact postcode,YES,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Old St - Moreland Primary School, a 16-min walk from Manypets. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",263,"Thanks for connecting, {First}.

Quick one - we run social football games at Old St - Moreland Primary School, about 16 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Manypets who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Mariana Capital Holdings,,Financial institution,EC4N 6EU,"100 CANNON STREET, LONDON",16/12/2015,GROUP,64205 - Activities of financial services holding companies,Borough Academy,22,postcode district,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Borough Academy, a 22-min walk from Mariana Capital Holdings. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",262,"Thanks for connecting, {First}.

Quick one - we run social football games at Borough Academy, about 22 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Mariana Capital Holdings who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Mariana Ufp (Americas),,Financial institution,EC4N 6EU,"100 CANNON STREET, LONDON",24/09/2014,MEDIUM,64999 - Financial intermediation not elsewhere classified,Borough Academy,22,postcode district,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Borough Academy, a 22-min walk from Mariana Ufp (Americas). Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",260,"Thanks for connecting, {First}.

Quick one - we run social football games at Borough Academy, about 22 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Mariana Ufp (Americas) who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
"Marine, Aviation & General (London)",,Financial institution,EC3R 7AA,"1 MINSTER COURT, LONDON",24/09/1993,FULL,65120 - Non-life insurance | 65202 - Non-life reinsurance,Borough Academy,22,postcode district,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Borough Academy, a 22-min walk from Marine, Aviation & General (London). Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",273,"Thanks for connecting, {First}.

Quick one - we run social football games at Borough Academy, about 22 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Marine, Aviation & General (London) who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Marketaxess Europe,,Financial institution,EC2V 7HR,"5 (10TH FLOOR), LONDON",20/06/2000,FULL,66190 - Activities auxiliary to financial intermediation n.e.c.,Borough Academy,23,postcode district,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Borough Academy, a 23-min walk from Marketaxess Europe. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",256,"Thanks for connecting, {First}.

Quick one - we run social football games at Borough Academy, about 23 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Marketaxess Europe who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Marshmallow Financial Services,,Financial institution,EC1Y 1BD,"1ST FLOOR THE FEATHERSTONE BUILDING, LONDON",10/10/2017,FULL,66220 - Activities of insurance agents and brokers,Old St - Moreland Primary School,14,postcode district,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Old St - Moreland Primary School, a 14-min walk from Marshmallow Financial Services. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",285,"Thanks for connecting, {First}.

Quick one - we run social football games at Old St - Moreland Primary School, about 14 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Marshmallow Financial Services who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Marygold & Co. (Uk),,Financial institution,EC2N 4AG,"18TH & 19TH FLOORS, 100 BISHOPSGATE",02/08/2021,GROUP,64205 - Activities of financial services holding companies,Whitechapel,24,exact postcode,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Whitechapel, a 24-min walk from Marygold & Co. (Uk). Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",253,"Thanks for connecting, {First}.

Quick one - we run social football games at Whitechapel, about 24 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Marygold & Co. (Uk) who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Maven Investment Partners Monaco,,Accountancy / financial advisory,EC2M 3TQ,"LEVEL 7, LONDON",18/05/2022,FULL,70221 - Financial management,Whitechapel,24,exact postcode,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Whitechapel, a 24-min walk from Maven Investment Partners Monaco. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",266,"Thanks for connecting, {First}.

Quick one - we run social football games at Whitechapel, about 24 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Maven Investment Partners Monaco who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Maven Renovar Vct,,Financial institution,EC2V 6BR,"SADDLERS HOUSE 6TH FLOOR, LONDON",10/01/2001,FULL,64301 - Activities of investment trusts,Borough Academy,23,postcode district,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Borough Academy, a 23-min walk from Maven Renovar Vct. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",255,"Thanks for connecting, {First}.

Quick one - we run social football games at Borough Academy, about 23 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Maven Renovar Vct who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Mayar Capital,,Financial institution,EC1R 0JH,"3RD FLOOR, UNIT 185 EXMOUTH HOUSE, 3-11, LONDON",12/03/2015,FULL,66300 - Fund management activities,Old St - Moreland Primary School,13,postcode district,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Old St - Moreland Primary School, a 13-min walk from Mayar Capital. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",268,"Thanks for connecting, {First}.

Quick one - we run social football games at Old St - Moreland Primary School, about 13 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Mayar Capital who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Maybank Securities (London),,Financial institution,EC4V 4AY,"PNB HOUSE, 1ST FLOOR, LONDON",28/04/1989,FULL,64999 - Financial intermediation not elsewhere classified,Borough Academy,19,postcode district,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Borough Academy, a 19-min walk from Maybank Securities (London). Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",265,"Thanks for connecting, {First}.

Quick one - we run social football games at Borough Academy, about 19 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Maybank Securities (London) who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Mba Holding Company 3,,Financial institution,EC2A 3SJ,"12 BROOK HOUSE, CHAPEL PLACE, LONDON",03/05/2016,GROUP,64209 - Activities of other holding companies n.e.c.,Shoreditch Rooftop,17,postcode district,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Shoreditch Rooftop, a 17-min walk from Mba Holding Company 3. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",262,"Thanks for connecting, {First}.

Quick one - we run social football games at Shoreditch Rooftop, about 17 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Mba Holding Company 3 who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Mcgill And Partners Group,,Financial institution,EC3A 2BJ,"13TH FLOOR, 40, LONDON",11/03/2019,GROUP,64209 - Activities of other holding companies n.e.c.,Whitechapel,23,exact postcode,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Whitechapel, a 23-min walk from Mcgill And Partners Group. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",259,"Thanks for connecting, {First}.

Quick one - we run social football games at Whitechapel, about 23 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Mcgill And Partners Group who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Mcgill And Partners Holdings,,Financial institution,EC3A 2BJ,"13TH FLOOR, 40, LONDON",23/09/2022,FULL,64209 - Activities of other holding companies n.e.c.,Whitechapel,23,exact postcode,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Whitechapel, a 23-min walk from Mcgill And Partners Holdings. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",262,"Thanks for connecting, {First}.

Quick one - we run social football games at Whitechapel, about 23 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Mcgill And Partners Holdings who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Mcgill And Partners,,Financial institution,EC3A 2BJ,"13TH FLOOR, 40, LONDON",12/03/2019,FULL,66220 - Activities of insurance agents and brokers,Whitechapel,23,exact postcode,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Whitechapel, a 23-min walk from Mcgill And Partners. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",253,"Thanks for connecting, {First}.

Quick one - we run social football games at Whitechapel, about 23 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Mcgill And Partners who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Meacock Capital,,Financial institution,EC2N 4AW,"HASILWOOD HOUSE, LONDON",14/07/1998,GROUP,65120 - Non-life insurance,Whitechapel,26,postcode district,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Whitechapel, a 26-min walk from Meacock Capital. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",249,"Thanks for connecting, {First}.

Quick one - we run social football games at Whitechapel, about 26 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Meacock Capital who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Meacock Underwriting,,Financial institution,EC2N 4AW,"HASILWOOD HOUSE, LONDON",14/07/1998,FULL,65120 - Non-life insurance,Whitechapel,26,postcode district,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Whitechapel, a 26-min walk from Meacock Underwriting. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",254,"Thanks for connecting, {First}.

Quick one - we run social football games at Whitechapel, about 26 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Meacock Underwriting who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Mellis Place,,Financial institution,EC2A 2EW,"HILL DICKINSON, BROADGATE TOWER, LONDON",29/01/2018,FULL,64209 - Activities of other holding companies n.e.c.,Shoreditch Rooftop,24,exact postcode,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Shoreditch Rooftop, a 24-min walk from Mellis Place. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",253,"Thanks for connecting, {First}.

Quick one - we run social football games at Shoreditch Rooftop, about 24 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Mellis Place who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Mer Uk Holding,,Financial institution,EC2N 4BQ,"19TH FLOOR, 22, LONDON",24/11/2020,FULL,64209 - Activities of other holding companies n.e.c.,Whitechapel,26,exact postcode,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Whitechapel, a 26-min walk from Mer Uk Holding. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",248,"Thanks for connecting, {First}.

Quick one - we run social football games at Whitechapel, about 26 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Mer Uk Holding who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Methods Holdings,,Financial institution,EC1N 8TS,"SAFFRON HOUSE, LONDON",26/04/2017,GROUP,64209 - Activities of other holding companies n.e.c.,Old St - Moreland Primary School,17,exact postcode,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Old St - Moreland Primary School, a 17-min walk from Methods Holdings. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",271,"Thanks for connecting, {First}.

Quick one - we run social football games at Old St - Moreland Primary School, about 17 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Methods Holdings who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Metlife Investment Management,,Financial institution,EC4R 3AB,"ONE ANGEL LANE, LONDON",26/02/2014,FULL,64999 - Financial intermediation not elsewhere classified,Borough Academy,17,exact postcode,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Borough Academy, a 17-min walk from Metlife Investment Management. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",267,"Thanks for connecting, {First}.

Quick one - we run social football games at Borough Academy, about 17 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Metlife Investment Management who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Metlife Investments,,Financial institution,EC4R 3AB,"ONE ANGEL LANE, LONDON",10/01/1992,FULL,64999 - Financial intermediation not elsewhere classified,Borough Academy,17,exact postcode,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Borough Academy, a 17-min walk from Metlife Investments. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",257,"Thanks for connecting, {First}.

Quick one - we run social football games at Borough Academy, about 17 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Metlife Investments who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Midpoint & Transfer,,Financial institution,EC2R 7AS,"12 TOKENHOUSE YARD, LONDON",04/07/2007,AUDITED ABRIDGED,64999 - Financial intermediation not elsewhere classified,Old St - Moreland Primary School,25,postcode district,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Old St - Moreland Primary School, a 25-min walk from Midpoint & Transfer. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",274,"Thanks for connecting, {First}.

Quick one - we run social football games at Old St - Moreland Primary School, about 25 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Midpoint & Transfer who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Mif Holdings,,Financial institution,EC3V 1AB,"1 LEADENHALL STREET, LONDON",22/04/2016,FULL,66220 - Activities of insurance agents and brokers,Borough Academy,24,postcode district,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Borough Academy, a 24-min walk from Mif Holdings. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",250,"Thanks for connecting, {First}.

Quick one - we run social football games at Borough Academy, about 24 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Mif Holdings who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Mightyhive,,Financial institution,EC2A 4DN,"MEDIAMONKS, 15, LONDON",15/07/2016,FULL,64999 - Financial intermediation not elsewhere classified,Old St - Moreland Primary School,17,exact postcode,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Old St - Moreland Primary School, a 17-min walk from Mightyhive. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",265,"Thanks for connecting, {First}.

Quick one - we run social football games at Old St - Moreland Primary School, about 17 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Mightyhive who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Millbridge Holdings Group,,Financial institution,EC1Y 2AJ,"22 CITY ROAD, LONDON",23/02/2017,GROUP,64203 - Activities of construction holding companies,Old St - Moreland Primary School,14,postcode district,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Old St - Moreland Primary School, a 14-min walk from Millbridge Holdings Group. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",280,"Thanks for connecting, {First}.

Quick one - we run social football games at Old St - Moreland Primary School, about 14 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Millbridge Holdings Group who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Millennium Global Investments,,Financial institution,EC2V 7QR,"15TH FLOOR, LONDON",05/09/1994,FULL,66300 - Fund management activities,Borough Academy,23,postcode district,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Borough Academy, a 23-min walk from Millennium Global Investments. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",267,"Thanks for connecting, {First}.

Quick one - we run social football games at Borough Academy, about 23 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Millennium Global Investments who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Millennium Global Treasury Services,,Financial institution,EC2V 7QR,"15TH FLOOR, LONDON",28/01/2019,GROUP,64999 - Financial intermediation not elsewhere classified,Borough Academy,23,postcode district,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Borough Academy, a 23-min walk from Millennium Global Treasury Services. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",273,"Thanks for connecting, {First}.

Quick one - we run social football games at Borough Academy, about 23 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Millennium Global Treasury Services who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Milliman Advisers,,Financial institution,EC3M 8AA,"EASTCHEAP COURT, LONDON",22/09/2000,FULL,66290 - Other activities auxiliary to insurance and pension funding,Whitechapel,24,postcode district,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Whitechapel, a 24-min walk from Milliman Advisers. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",251,"Thanks for connecting, {First}.

Quick one - we run social football games at Whitechapel, about 24 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Milliman Advisers who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Miniclip (Finco),,Financial institution,EC4A 1EN,"2ND FLOOR, BUREAU, LONDON",01/06/2022,FULL,64209 - Activities of other holding companies n.e.c.,Old St - Moreland Primary School,23,exact postcode,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Old St - Moreland Primary School, a 23-min walk from Miniclip (Finco). Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",271,"Thanks for connecting, {First}.

Quick one - we run social football games at Old St - Moreland Primary School, about 23 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Miniclip (Finco) who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Minova Insurance Holdings,,Financial institution,EC3N 2LS,ONE AMERICA SQUARE,29/04/1980,FULL,64209 - Activities of other holding companies n.e.c.,Whitechapel,19,postcode district,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Whitechapel, a 19-min walk from Minova Insurance Holdings. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",259,"Thanks for connecting, {First}.

Quick one - we run social football games at Whitechapel, about 19 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Minova Insurance Holdings who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Minova Management Services,,Financial institution,EC3N 2LS,ONE AMERICA SQUARE,17/07/1995,FULL,65120 - Non-life insurance,Whitechapel,19,postcode district,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Whitechapel, a 19-min walk from Minova Management Services. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",260,"Thanks for connecting, {First}.

Quick one - we run social football games at Whitechapel, about 19 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Minova Management Services who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Mirae Asset Securities (Uk),,Financial institution,EC2N 1HQ,"11TH FLOOR, TOWER 42, LONDON",03/05/1991,FULL,64999 - Financial intermediation not elsewhere classified,Whitechapel,27,exact postcode,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Whitechapel, a 27-min walk from Mirae Asset Securities (Uk). Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",261,"Thanks for connecting, {First}.

Quick one - we run social football games at Whitechapel, about 27 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Mirae Asset Securities (Uk) who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Miramar Underwriting,,Financial institution,EC3N 2EX,"DAWSON HOUSE 5, JEWRY STREET, LONDON",07/08/2009,FULL,66220 - Activities of insurance agents and brokers,Whitechapel,19,exact postcode,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Whitechapel, a 19-min walk from Miramar Underwriting. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",254,"Thanks for connecting, {First}.

Quick one - we run social football games at Whitechapel, about 19 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Miramar Underwriting who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Mitel Networks (International),,Financial institution,EC2M 1QS,"12TH FLOOR (SOUTH) DASHWOOD HOUSE, LONDON",01/08/2018,GROUP,64209 - Activities of other holding companies n.e.c.,Whitechapel,26,exact postcode,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Whitechapel, a 26-min walk from Mitel Networks (International). Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",264,"Thanks for connecting, {First}.

Quick one - we run social football games at Whitechapel, about 26 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Mitel Networks (International) who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Miton Group,,Financial institution,EC4M 8AB,"6TH FLOOR, PATERNOSTER HOUSE, LONDON",22/06/2004,FULL,64205 - Activities of financial services holding companies,Borough Academy,23,exact postcode,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Borough Academy, a 23-min walk from Miton Group. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",249,"Thanks for connecting, {First}.

Quick one - we run social football games at Borough Academy, about 23 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Miton Group who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
